,Date,Open,High,Low,Close,Volume
0,2022-01-01 00:00:00,1837.74,1837.8,1832.55,1837.8,0.41667738
1,2022-01-01 01:00:00,1832.94,1840.0,1832.94,1834.87,2.55014825
2,2022-01-01 02:00:00,1840.0,1840.0,1834.81,1834.81,0.00803804
3,2022-01-01 03:00:00,1840.0,1840.0,1835.11,1835.11,0.00443804
4,2022-01-01 04:00:00,1835.29,1839.97,1832.19,1832.19,1.27833805
5,2022-01-01 05:00:00,1831.36,1840.0,1831.36,1839.99,4.47663804
6,2022-01-01 06:00:00,1834.5,1839.99,1831.27,1831.44,1.08573853
7,2022-01-01 07:00:00,1831.31,1839.99,1831.31,1834.52,0.24779344
8,2022-01-01 08:00:00,1834.54,1840.0,1834.51,1840.0,5.00888336
9,2022-01-01 09:00:00,1834.51,1840.0,1830.64,1838.84,5.46226052
10,2022-01-01 10:00:00,1832.39,1842.5,1832.19,1833.18,0.91485223
11,2022-01-01 11:00:00,1838.98,1842.71,1835.03,1835.04,0.75959404
12,2022-01-01 12:00:00,1835.04,1844.82,1835.04,1836.92,0.82443568
13,2022-01-01 13:00:00,1843.28,1845.12,1836.92,1836.92,0.31931081
14,2022-01-01 14:00:00,1843.23,1843.5,1837.75,1837.75,0.13698444
15,2022-01-01 15:00:00,1837.75,1860.0,1836.12,1836.12,18.83129789
16,2022-01-01 16:00:00,1836.12,1836.12,1820.0,1834.58,12.09109762
17,2022-01-01 17:00:00,1834.58,1835.42,1828.66,1832.67,2.74488658
18,2022-01-01 18:00:00,1835.42,1842.71,1835.41,1842.64,4.82407609
19,2022-01-01 19:00:00,1842.71,1843.68,1835.0,1843.45,0.95852227
20,2022-01-01 20:00:00,1843.42,1843.5,1835.9,1837.75,0.08153709
21,2022-01-01 21:00:00,1837.77,1841.42,1834.66,1834.66,0.42903762
22,2022-01-01 22:00:00,1834.59,1846.15,1834.59,1842.79,1.05812337
23,2022-01-01 23:00:00,1842.61,1846.15,1838.42,1843.5,0.41303729
24,2022-01-02 00:00:00,1843.5,1845.13,1838.0,1843.49,0.13593707
25,2022-01-02 01:00:00,1843.39,1843.39,1837.0,1843.04,0.09193721
26,2022-01-02 02:00:00,1837.0,1843.5,1836.79,1836.79,0.27623895
27,2022-01-02 03:00:00,1843.17,1843.17,1836.81,1836.81,0.00583711
28,2022-01-02 04:00:00,1843.16,1843.16,1834.15,1834.15,0.74373021
29,2022-01-02 05:00:00,1834.14,1839.0,1834.14,1834.14,0.15185719
30,2022-01-02 06:00:00,1839.0,1841.17,1834.17,1834.51,0.06023833
31,2022-01-02 07:00:00,1838.65,1839.0,1831.26,1838.99,1.29458417
32,2022-01-02 08:00:00,1833.76,1838.99,1828.86,1830.68,4.27403833
33,2022-01-02 09:00:00,1830.69,1836.79,1830.63,1836.68,4.10373898
34,2022-01-02 10:00:00,1830.7,1836.72,1830.67,1836.72,0.48957393
35,2022-01-02 11:00:00,1836.72,1836.77,1830.67,1830.68,1.10061674
36,2022-01-02 12:00:00,1830.68,1836.69,1830.68,1831.98,0.13993901
37,2022-01-02 13:00:00,1836.62,1836.76,1830.67,1830.67,0.84202154
38,2022-01-02 14:00:00,1836.49,1836.78,1830.69,1830.92,0.40183907
39,2022-01-02 15:00:00,1836.78,1836.78,1830.83,1835.0,0.90852397
40,2022-01-02 16:00:00,1832.43,1838.47,1832.19,1832.19,0.77259948
41,2022-01-02 17:00:00,1838.45,1838.48,1833.81,1837.85,0.41228408
42,2022-01-02 18:00:00,1837.83,1837.85,1830.34,1830.39,1.14990954
43,2022-01-02 19:00:00,1837.42,1838.48,1830.01,1835.78,0.49843928
44,2022-01-02 20:00:00,1835.83,1838.41,1831.72,1832.46,0.12019605
45,2022-01-02 21:00:00,1832.23,1837.72,1832.21,1832.21,0.05323871
46,2022-01-02 22:00:00,1838.36,1838.42,1832.26,1834.77,0.25328246
47,2022-01-02 23:00:00,1833.1,1838.42,1832.31,1832.34,0.0483385
48,2022-01-03 00:00:00,1838.34,1838.34,1832.19,1832.2,1.94074695
49,2022-01-03 01:00:00,1832.19,1838.41,1832.19,1832.19,0.0088385
50,2022-01-03 02:00:00,1836.96,1845.66,1834.14,1840.29,9.0842189
51,2022-01-03 03:00:00,1835.01,1838.26,1832.92,1832.92,0.30153855
52,2022-01-03 04:00:00,1832.92,1836.26,1832.92,1836.19,0.01333919
53,2022-01-03 05:00:00,1832.92,1832.92,1814.59,1826.22,11.66674144
54,2022-01-03 06:00:00,1830.46,1831.09,1825.5,1830.0,0.20276775
55,2022-01-03 07:00:00,1824.83,1831.25,1824.83,1831.25,1.0229729
56,2022-01-03 08:00:00,1830.01,1834.14,1830.0,1834.14,6.63827342
57,2022-01-03 09:00:00,1833.34,1836.79,1830.0,1835.35,3.51466078
58,2022-01-03 10:00:00,1830.42,1837.34,1830.34,1830.58,0.4591003
59,2022-01-03 11:00:00,1837.32,1837.44,1830.09,1830.09,0.04243879
60,2022-01-03 12:00:00,1830.01,1836.35,1830.01,1836.0,3.65945231
61,2022-01-03 13:00:00,1830.34,1835.42,1815.84,1816.64,8.54125897
62,2022-01-03 14:00:00,1816.5,1821.0,1805.0,1813.94,14.91350109
63,2022-01-03 15:00:00,1808.57,1819.21,1808.57,1809.34,1.65758931
64,2022-01-03 16:00:00,1814.86,1814.86,1806.04,1811.03,1.45481203
